"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2019","12,168.45","12,137.05","12,293.90","11,832.30","12.55B","0.93%"
"01-11-2019","12,056.05","11,886.60","12,158.80","11,802.65","13.18B","1.50%"
"01-10-2019","11,877.45","11,515.40","11,945.00","11,090.15","15.62B","3.51%"
"01-09-2019","11,474.45","10,960.95","11,694.85","10,670.25","12.21B","4.09%"
"01-08-2019","11,023.25","11,060.20","11,181.45","10,637.15","11.15B","-0.85%"
"01-07-2019","11,118.00","11,839.90","11,981.75","10,999.40","9.99B","-5.69%"
"01-06-2019","11,788.85","11,953.75","12,103.05","11,625.10","6.79B","-1.12%"
"01-05-2019","11,922.80","11,725.55","12,041.15","11,108.30","8.65B","1.49%"
"01-04-2019","11,748.15","11,665.20","11,856.15","11,549.10","6.52B","1.07%"
"01-03-2019","11,623.90","10,842.65","11,630.35","10,817.00","6.86B","7.70%"
"01-02-2019","10,792.50","10,851.35","11,118.10","10,585.65","7.46B","-0.36%"
"01-01-2019","10,830.95","10,881.70","10,987.45","10,583.65","7.43B","-0.29%"
"01-12-2018","10,862.55","10,930.70","10,985.15","10,333.85","6.74B","-0.13%"
"01-11-2018","10,876.75","10,441.70","10,922.45","10,341.90","6.79B","4.72%"
"01-10-2018","10,386.60","10,930.90","11,035.65","10,004.55","8.14B","-4.98%"
"01-09-2018","10,930.45","11,751.80","11,751.80","10,850.30","6.03B","-6.42%"
"01-08-2018","11,680.50","11,359.80","11,760.20","11,234.95","5.41B","2.85%"
"01-07-2018","11,356.50","10,732.35","11,366.00","10,604.65","5.29B","5.99%"
"01-06-2018","10,714.30","10,738.45","10,893.25","10,550.90","4.83B","-0.20%"
"01-05-2018","10,736.15","10,783.85","10,929.20","10,417.80","5.50B","-0.03%"
"01-04-2018","10,739.35","10,151.65","10,759.00","10,111.30","4.95B","6.19%"
"01-03-2018","10,113.70","10,479.95","10,525.50","9,951.90","4.52B","-3.61%"
"01-02-2018","10,492.85","11,044.55","11,117.35","10,276.30","4.53B","-4.85%"
"01-01-2018","11,027.70","10,531.70","11,171.55","10,404.65","4.84B","4.72%"
"01-12-2017","10,530.70","10,263.70","10,552.40","10,033.35","3.61B","2.97%"
"01-11-2017","10,226.55","10,390.35","10,490.45","10,094.00","4.79B","-1.05%"
"01-10-2017","10,335.30","9,893.30","10,384.50","9,831.05","4.64B","5.59%"
"01-09-2017","9,788.60","9,937.65","10,178.95","9,687.55","4.29B","-1.30%"
"01-08-2017","9,917.90","10,101.05","10,137.85","9,685.55","4.30B","-1.58%"
"01-07-2017","10,077.10","9,587.95","10,114.85","9,543.55","3.85B","5.84%"
"01-06-2017","9,520.90","9,603.55","9,709.30","9,448.75","3.67B","-1.04%"
"01-05-2017","9,621.25","9,339.85","9,649.60","9,269.90","4.68B","3.41%"
"01-04-2017","9,304.05","9,220.60","9,367.15","9,075.15","3.15B","1.42%"
"01-03-2017","9,173.75","8,904.40","9,218.40","8,860.10","4.98B","3.31%"
"01-02-2017","8,879.60","8,570.35","8,982.15","8,537.50","4.53B","3.72%"
"01-01-2017","8,561.30","8,210.10","8,672.70","8,133.80","4.13B","4.59%"
"01-12-2016","8,185.80","8,244.00","8,274.95","7,893.80","3.22B","-0.47%"
"01-11-2016","8,224.50","8,653.15","8,669.60","7,916.40","4.73B","-4.65%"
"01-10-2016","8,625.70","8,666.15","8,806.95","8,506.15","3.42B","0.17%"
"01-09-2016","8,611.15","8,793.60","8,968.70","8,555.20","4.02B","-1.99%"
"01-08-2016","8,786.20","8,654.30","8,819.20","8,518.15","4.22B","1.71%"
"01-07-2016","8,638.50","8,313.05","8,674.70","8,287.55","3.42B","4.23%"
"01-06-2016","8,287.75","8,179.20","8,308.15","7,927.05","4.32B","1.56%"
"01-05-2016","8,160.10","7,822.70","8,213.60","7,678.35","4.50B","3.95%"
"01-04-2016","7,849.80","7,718.05","7,992.00","7,516.85","3.65B","1.44%"
"01-03-2016","7,738.40","7,038.25","7,777.60","7,035.10","4.96B","10.75%"
"01-02-2016","6,987.05","7,589.50","7,600.45","6,825.80","5.33B","-7.62%"
"01-01-2016","7,563.55","7,938.45","7,972.55","7,241.50","3.96B","-4.82%"
"01-12-2015","7,946.35","7,958.15","7,979.30","7,551.05","3.12B","0.14%"
"01-11-2015","7,935.25","8,054.55","8,116.10","7,714.15","3.16B","-1.62%"
"01-10-2015","8,065.80","7,992.05","8,336.30","7,930.65","3.47B","1.47%"
"01-09-2015","7,948.90","7,907.95","8,055.00","7,539.50","3.54B","-0.28%"
"01-08-2015","7,971.30","8,510.65","8,621.55","7,667.25","4.06B","-6.58%"
"01-07-2015","8,532.85","8,376.25","8,654.75","8,315.40","3.19B","1.96%"
"01-06-2015","8,368.50","8,417.25","8,467.15","7,940.30","3.25B","-0.77%"
"01-05-2015","8,433.65","8,230.05","8,489.55","7,997.15","3.49B","3.08%"
"01-04-2015","8,181.50","8,483.70","8,844.80","8,144.75","3.37B","-3.65%"
"01-03-2015","8,491.00","8,953.85","9,119.20","8,269.15","3.84B","-4.62%"
"01-02-2015","8,901.85","8,802.50","8,941.10","8,470.50","3.78B","1.06%"
"01-01-2015","8,808.90","8,272.80","8,996.60","8,065.45","3.49B","6.35%"
"01-12-2014","8,282.70","8,605.10","8,626.95","7,961.35","3.15B","-3.56%"
"01-11-2014","8,588.25","8,348.15","8,617.00","8,290.25","2.70B","3.20%"
"01-10-2014","8,322.20","7,960.50","8,330.75","7,723.85","2.70B","4.49%"
"01-09-2014","7,964.80","7,990.35","8,180.20","7,841.80","2.93B","0.13%"
"01-08-2014","7,954.35","7,662.50","7,968.25","7,540.10","2.48B","3.02%"
"01-07-2014","7,721.30","7,629.00","7,840.95","7,422.15","3.32B","1.44%"
"01-06-2014","7,611.35","7,264.05","7,700.05","7,239.50","3.62B","5.28%"
"01-05-2014","7,229.95","6,709.95","7,563.50","6,638.55","4.28B","7.97%"
"01-04-2014","6,696.40","6,729.50","6,869.85","6,650.40","2.67B","-0.12%"
"01-03-2014","6,704.20","6,264.35","6,730.05","6,212.25","3.86B","6.81%"
"01-02-2014","6,276.95","6,058.80","6,282.70","5,933.30","2.80B","3.08%"
"01-01-2014","6,089.50","6,323.80","6,358.30","6,027.25","3.35B","-3.40%"
"01-12-2013","6,304.00","6,171.15","6,415.25","6,129.95","3.62B","2.07%"
"01-11-2013","6,176.10","6,289.75","6,342.95","5,972.45","3.02B","-1.95%"
"01-10-2013","6,299.15","5,756.10","6,309.05","5,700.95","3.84B","9.83%"
"01-09-2013","5,735.30","5,480.25","6,142.50","5,318.90","4.49B","4.82%"
"01-08-2013","5,471.80","5,776.90","5,808.50","5,118.85","5.01B","-4.71%"
"01-07-2013","5,742.00","5,834.10","6,093.35","5,675.75","3.52B","-1.72%"
"01-06-2013","5,842.20","5,997.35","6,011.00","5,566.25","2.98B","-2.40%"
"01-05-2013","5,985.95","5,911.40","6,229.45","5,910.95","3.08B","0.94%"
"01-04-2013","5,930.20","5,697.35","5,962.30","5,477.20","2.73B","4.36%"
"01-03-2013","5,682.55","5,702.45","5,971.20","5,604.85","2.88B","-0.18%"
"01-02-2013","5,693.05","6,040.95","6,052.95","5,671.90","3.08B","-5.66%"
"01-01-2013","6,034.75","5,937.65","6,111.80","5,935.20","3.08B","2.20%"
"01-12-2012","5,905.10","5,878.25","5,965.15","5,823.15","2.41B","0.43%"
"01-11-2012","5,879.85","5,609.85","5,885.25","5,548.35","2.30B","4.63%"
"01-10-2012","5,619.70","5,704.75","5,815.35","4,888.20","2.77B","-1.47%"
"01-09-2012","5,703.30","5,276.50","5,735.15","5,215.70","3.36B","8.46%"
"01-08-2012","5,258.50","5,220.70","5,448.60","5,164.65","2.75B","0.56%"
"01-07-2012","5,229.00","5,283.85","5,348.55","5,032.40","2.67B","-0.95%"
"01-06-2012","5,278.90","4,910.85","5,286.25","4,770.35","3.04B","7.20%"
"01-05-2012","4,924.25","5,254.30","5,279.60","4,788.95","3.23B","-6.17%"
"01-04-2012","5,248.15","5,296.35","5,378.75","5,154.30","2.74B","-0.90%"
"01-03-2012","5,295.55","5,366.00","5,499.40","5,135.95","4.16B","-1.66%"
"01-02-2012","5,385.20","5,198.15","5,629.95","5,159.00","5.04B","3.58%"
"01-01-2012","5,199.25","4,640.20","5,217.00","4,588.05","4.15B","12.43%"
"01-12-2011","4,624.30","4,970.85","5,099.25","4,531.15","3.43B","-4.30%"
"01-11-2011","4,832.05","5,278.60","5,326.45","4,639.10","3.30B","-9.28%"
"01-10-2011","5,326.60","4,874.40","5,399.70","4,728.30","2.96B","7.76%"
"01-09-2011","4,943.25","5,109.80","5,169.25","4,758.85","3.49B","-1.15%"
"01-08-2011","5,001.00","5,527.50","5,551.90","4,720.00","3.10B","-8.77%"
"01-07-2011","5,482.00","5,705.75","5,740.40","5,453.95","2.32B","-2.93%"
"01-06-2011","5,647.40","5,561.05","5,657.90","5,195.90","2.36B","1.57%"
"01-05-2011","5,560.15","5,766.90","5,775.25","5,328.70","2.39B","-3.29%"
"01-04-2011","5,749.50","5,835.00","5,944.45","5,693.25","2.16B","-1.44%"
"01-03-2011","5,833.75","5,382.00","5,872.00","5,348.20","3.22B","9.38%"
"01-02-2011","5,333.25","5,537.30","5,599.25","5,177.70","3.73B","-3.14%"
"01-01-2011","5,505.90","6,177.45","6,181.05","5,416.65","3.07B","-10.25%"
"01-12-2010","6,134.50","5,871.00","6,147.30","5,721.15","2.99B","4.64%"
"01-11-2010","5,862.70","6,092.30","6,338.50","5,690.35","3.30B","-2.58%"
"01-10-2010","6,017.70","6,030.30","6,284.10","5,937.10","2.91B","-0.20%"
"01-09-2010","6,029.95","5,403.05","6,073.50","5,403.05","3.61B","11.62%"
"01-08-2010","5,402.40","5,369.55","5,549.80","5,348.90","3.21B","0.65%"
"01-07-2010","5,367.60","5,312.05","5,477.50","5,225.60","3.34B","1.04%"
"01-06-2010","5,312.50","5,086.25","5,366.75","4,961.05","4.04B","4.45%"
"01-05-2010","5,086.30","5,278.40","5,278.70","4,786.45","3.92B","-3.63%"
"01-04-2010","5,278.00","5,249.20","5,399.65","5,160.90","3.15B","0.55%"
"01-03-2010","5,249.10","4,935.60","5,329.55","4,935.35","3.42B","6.64%"
"01-02-2010","4,922.30","4,882.05","4,992.00","4,675.40","3.56B","0.82%"
"01-01-2010","4,882.05","5,200.90","5,310.85","4,766.00","3.88B","-6.13%"
"01-12-2009","5,201.05","5,039.70","5,221.85","4,943.95","4.39B","3.35%"
"01-11-2009","5,032.70","4,712.25","5,138.00","4,538.50","5.19B","6.81%"
"01-10-2009","4,711.70","5,087.20","5,181.95","4,687.50","4.89B","-7.32%"
"01-09-2009","5,083.95","4,662.20","5,087.60","4,576.60","4.68B","9.05%"
"01-08-2009","4,662.10","4,633.80","4,743.75","4,353.45","5.34B","0.55%"
"01-07-2009","4,636.45","4,292.30","4,669.75","3,918.75","7.01B","8.05%"
"01-06-2009","4,291.10","4,450.40","4,693.20","4,143.25","7.98B","-3.55%"
"01-05-2009","4,448.95","3,478.70","4,509.40","3,478.70","7.14B","28.07%"
"01-04-2009","3,473.95","3,023.85","3,517.25","2,965.70","6.43B","15.00%"
"01-03-2009","3,020.95","2,764.60","3,123.35","2,539.45","5.34B","9.31%"
"01-02-2009","2,763.65","2,872.35","2,969.75","2,677.55","3.95B","-3.87%"
"01-01-2009","2,874.80","2,963.30","3,147.20","2,661.65","6.11B","-2.85%"
"01-12-2008","2,959.15","2,755.15","3,110.45","2,570.70","6.35B","7.41%"
"01-11-2008","2,755.10","2,885.40","3,240.55","2,502.90","4.55B","-4.52%"
"01-10-2008","2,885.60","3,921.85","4,000.50","2,252.75","4.87B","-26.41%"
"01-09-2008","3,921.20","4,356.10","4,558.00","3,715.05","3.09B","-10.06%"
"01-08-2008","4,360.00","4,331.60","4,649.85","4,201.85","2.36B","0.62%"
"01-07-2008","4,332.95","4,039.75","4,539.45","3,790.20","3.62B","7.24%"
"01-06-2008","4,040.55","4,869.25","4,908.80","4,021.70","3.04B","-17.03%"
"01-05-2008","4,870.10","5,265.30","5,298.85","4,801.90","2.88B","-5.73%"
"01-04-2008","5,165.90","4,735.65","5,230.75","4,628.75","2.68B","9.11%"
"01-03-2008","4,734.50","5,222.80","5,222.80","4,468.55","2.64B","-9.36%"
"01-02-2008","5,223.50","5,140.60","5,545.20","4,803.60","2.12B","1.67%"
"01-01-2008","5,137.45","6,136.75","6,357.10","4,448.50","3.14B","-16.31%"
"01-12-2007","6,138.60","5,765.45","6,185.40","5,676.70","2.06B","6.52%"
"01-11-2007","5,762.75","5,903.80","6,011.95","5,394.35","3.53B","-2.34%"
"01-10-2007","5,900.65","5,021.50","5,976.00","5,000.95","3.50B","17.51%"
"01-09-2007","5,021.35","4,466.65","5,055.80","4,445.55","1.88B","12.49%"
"01-08-2007","4,464.00","4,528.85","4,532.90","4,002.20","1.73B","-1.43%"
"01-07-2007","4,528.85","4,318.40","4,647.95","4,304.00","1.92B","4.88%"
"01-06-2007","4,318.30","4,296.05","4,362.95","4,100.80","1.58B","0.52%"
"01-05-2007","4,295.80","4,089.45","4,306.75","3,981.15","1.72B","5.09%"
"01-04-2007","4,087.90","3,820.00","4,217.90","3,617.00","1.64B","6.97%"
"01-03-2007","3,821.55","3,745.40","3,901.75","3,554.50","1.79B","2.04%"
"01-02-2007","3,745.30","4,083.40","4,245.30","3,674.85","1.55B","-8.26%"
"01-01-2007","4,082.70","3,966.25","4,167.15","3,833.60","1.52B","2.93%"
"01-12-2006","3,966.40","3,955.70","4,046.85","3,657.65","1.35B","0.30%"
"01-11-2006","3,954.50","3,744.10","3,976.80","3,737.00","1.52B","5.62%"
"01-10-2006","3,744.10","3,588.95","3,782.85","3,508.65","1.41B","4.34%"
"01-09-2006","3,588.40","3,414.00","3,603.70","3,328.45","1.40B","5.11%"
"01-08-2006","3,413.90","3,128.20","3,452.30","3,113.60","1.37B","8.61%"
"01-07-2006","3,143.20","3,128.75","3,208.85","2,878.25","1.59B","0.48%"
"01-06-2006","3,128.20","3,072.55","3,134.15","2,595.65","2.15B","1.86%"
"01-05-2006","3,071.05","3,557.55","3,774.15","2,896.40","2.39B","-13.68%"
"01-04-2006","3,557.60","3,403.15","3,598.95","3,290.35","1.83B","4.56%"
"01-03-2006","3,402.55","3,074.60","3,433.85","3,064.00","2.09B","10.66%"
"01-02-2006","3,074.70","3,001.30","3,090.30","2,928.10","1.44B","2.45%"
"01-01-2006","3,001.10","2,836.80","3,005.10","2,783.85","1.58B","5.80%"
"01-12-2005","2,836.55","2,651.60","2,857.00","2,641.95","1.71B","6.95%"
"01-11-2005","2,652.25","2,366.80","2,727.05","2,366.80","1.41B","11.86%"
"01-10-2005","2,370.95","2,601.00","2,669.20","2,307.45","1.74B","-8.86%"
"01-09-2005","2,601.40","2,384.70","2,633.90","2,382.90","1.48B","9.09%"
"01-08-2005","2,384.65","2,312.05","2,426.65","2,294.25","1.56B","3.13%"
"01-07-2005","2,312.30","2,220.45","2,332.55","2,171.25","1.29B","4.13%"
"01-06-2005","2,220.60","2,087.80","2,226.15","2,061.35","1.32B","6.37%"
"01-05-2005","2,087.55","1,903.10","2,099.35","1,898.15","1.15B","9.73%"
"01-04-2005","1,902.50","2,035.90","2,084.90","1,896.30","1.14B","-6.54%"
"01-03-2005","2,035.65","2,103.10","2,183.45","1,971.15","1.61B","-3.21%"
"01-02-2005","2,103.25","2,057.75","2,110.15","2,036.60","1.48B","2.22%"
"01-01-2005","2,057.60","2,080.00","2,120.15","1,894.40","1.73B","-1.10%"
"01-12-2004","2,080.50","1,960.75","2,088.45","1,944.50","1.95B","6.21%"
"01-11-2004","1,958.80","1,787.30","1,963.80","1,776.70","1.55B","9.62%"
"01-10-2004","1,786.90","1,744.40","1,829.45","1,737.85","1.73B","2.37%"
"01-09-2004","1,745.50","1,631.70","1,760.80","1,619.90","2.27B","6.97%"
"01-08-2004","1,631.75","1,631.55","1,658.90","1,573.70","2.43B","-0.03%"
"01-07-2004","1,632.30","1,506.65","1,638.70","1,472.55","2.93B","8.42%"
"01-06-2004","1,505.60","1,483.90","1,566.50","1,437.90","2.28B","1.48%"
"01-05-2004","1,483.60","1,796.10","1,837.95","1,292.20","2.39B","-17.40%"
"01-04-2004","1,796.10","1,771.45","1,912.35","1,771.45","2.04B","1.37%"
"01-03-2004","1,771.90","1,798.35","1,898.70","1,669.70","2.44B","-1.58%"
"01-02-2004","1,800.30","1,809.30","1,935.80","1,755.65","2.34B","-0.52%"
"01-01-2004","1,809.75","1,880.35","2,014.65","1,756.25","2.72B","-3.72%"
"01-12-2003","1,879.75","1,615.85","1,914.40","1,615.70","2.34B","16.38%"
"01-11-2003","1,615.25","1,556.50","1,630.25","1,509.15","2.31B","3.81%"
"01-10-2003","1,555.90","1,416.60","1,574.10","1,407.95","3.47B","9.79%"
"01-09-2003","1,417.10","1,356.70","1,430.70","1,285.25","3.22B","4.46%"
"01-08-2003","1,356.55","1,185.80","1,365.80","1,164.75","3.09B","14.39%"
"01-07-2003","1,185.85","1,133.95","1,198.50","1,089.30","1.77B","4.56%"
"01-06-2003","1,134.15","1,006.85","1,141.30","1,004.70","1.47B","12.65%"
"01-05-2003","1,006.80","930.90","1,013.85","930.80","1.28B","7.79%"
"01-04-2003","934.05","977.40","1,033.45","920.00","1.21B","-4.51%"
"01-03-2003","978.20","1,063.55","1,070.85","974.10","894.12M","-8.01%"
"01-02-2003","1,063.40","1,040.25","1,075.50","1,034.10","977.16M","2.07%"
"01-01-2003","1,041.85","1,093.60","1,105.60","1,026.20","1.27B","-4.72%"
"01-12-2002","1,093.50","1,050.15","1,103.95","1,034.10","1.34B","4.13%"
"01-11-2002","1,050.15","951.45","1,057.45","946.40","1.18B","10.38%"
"01-10-2002","951.40","961.15","983.60","920.10","1.04B","-1.22%"
"01-09-2002","963.15","1,010.90","1,024.65","960.20","858.72M","-4.70%"
"01-08-2002","1,010.60","959.20","1,012.75","935.55","945.39M","5.39%"
"01-07-2002","958.90","1,058.00","1,087.40","943.60","988.64M","-9.35%"
"01-06-2002","1,057.80","1,029.25","1,102.05","1,029.25","830.00M","2.82%"
"01-05-2002","1,028.80","1,084.80","1,136.55","1,020.10","1.01B","-5.14%"
"01-04-2002","1,084.50","1,129.85","1,153.30","1,073.30","874.09M","-3.99%"
"01-03-2002","1,129.55","1,142.05","1,201.10","1,117.85","929.78M","-1.09%"
"01-02-2002","1,142.05","1,076.95","1,205.95","1,069.40","1.29B","6.20%"
"01-01-2002","1,075.40","1,058.85","1,121.75","1,052.05","1.42B","1.54%"
"01-12-2001","1,059.05","1,067.20","1,132.65","1,010.45","1.06B","-0.76%"
"01-11-2001","1,067.15","973.55","1,097.60","973.55","1.08B","9.80%"
"01-10-2001","971.90","914.65","1,000.95","884.65","982.27M","6.35%"
"01-09-2001","913.85","1,054.65","1,059.90","849.95","946.78M","-13.28%"
"01-08-2001","1,053.75","1,073.00","1,084.00","1,051.75","755.98M","-1.78%"
"01-07-2001","1,072.85","1,108.35","1,127.15","1,046.90","576.87M","-3.16%"
"01-06-2001","1,107.90","1,168.10","1,175.80","1,060.05","843.59M","-5.14%"
"01-05-2001","1,167.90","1,125.45","1,207.00","1,096.25","986.61M","3.79%"
"01-04-2001","1,125.25","1,148.10","1,171.85","1,000.10","853.34M","-2.00%"
"01-03-2001","1,148.20","1,351.75","1,399.55","1,098.75","1.18B","-15.04%"
"01-02-2001","1,351.40","1,371.50","1,422.95","1,281.90","2.11B","-1.48%"
"01-01-2001","1,371.70","1,263.50","1,396.05","1,248.55","1.99B","8.56%"
"01-12-2000","1,263.55","1,268.10","1,369.50","1,207.95","1.59B","-0.36%"
"01-11-2000","1,268.15","1,178.25","1,281.00","1,177.10","1.45B","8.13%"
"01-10-2000","1,172.75","1,270.75","1,306.45","1,108.20","1.04B","-7.78%"
"01-09-2000","1,271.65","1,395.95","1,482.00","1,249.35","980.56M","-8.78%"
"01-08-2000","1,394.10","1,332.85","1,398.90","1,295.45","942.05M","4.60%"
"01-07-2000","1,332.85","1,473.45","1,564.75","1,269.25","894.30M","-9.42%"
"01-06-2000","1,471.45","1,380.40","1,539.10","1,345.10","826.11M","6.59%"
"01-05-2000","1,380.45","1,410.00","1,436.60","1,201.50","642.45M","-1.86%"
"01-04-2000","1,406.55","1,528.70","1,636.95","1,311.30","751.69M","-7.98%"
"01-03-2000","1,528.45","1,661.50","1,773.85","1,489.10","655.71M","-7.64%"
"01-02-2000","1,654.80","1,546.20","1,818.15","1,521.40","690.44M","7.02%"
"01-01-2000","1,546.20","1,482.15","1,671.15","1,482.15","850.41M","4.44%"
"01-12-1999","1,480.45","1,375.05","1,510.85","1,374.70","676.31M","7.58%"
"01-11-1999","1,376.15","1,325.90","1,418.15","1,239.80","690.99M","3.83%"
"01-10-1999","1,325.45","1,414.65","1,522.85","1,296.70","1.01B","-6.20%"
"01-09-1999","1,413.10","1,412.05","1,432.55","1,329.70","863.21M","0.08%"
"01-08-1999","1,412.00","1,309.85","1,435.50","1,277.85","821.91M","7.77%"
"01-07-1999","1,310.15","1,187.85","1,367.95","1,179.30","1.10B","10.31%"
"01-06-1999","1,187.70","1,125.55","1,228.55","1,099.85","1.01B","4.89%"
"01-05-1999","1,132.30","979.80","1,201.30","968.25","1.05B","15.75%"
"01-04-1999","978.20","1,082.55","1,084.05","916.00","440.00M","-9.26%"
"01-03-1999","1,078.05","992.45","1,099.80","984.45","806.43M","9.86%"
"01-02-1999","981.30","962.40","989.15","907.45","702.17M","1.56%"
"01-01-1999","966.20","886.75","1,016.30","882.60","822.41M","9.27%"
"01-12-1998","884.25","816.55","903.85","812.25","677.71M","8.13%"
"01-11-1998","817.75","824.20","882.10","800.10","695.94M","-0.82%"
"01-10-1998","824.55","904.75","904.75","803.30","586.19M","-8.88%"
"01-09-1998","904.95","852.75","945.25","832.05","619.24M","6.12%"
"01-08-1998","852.80","930.80","930.80","830.15","503.87M","-8.44%"
"01-07-1998","931.40","941.60","1,015.55","895.85","579.36M","-1.09%"
"01-06-1998","941.65","1,064.10","1,100.00","853.05","738.68M","-11.43%"
"01-05-1998","1,063.15","1,159.80","1,196.70","1,037.95","585.52M","-8.30%"
"01-04-1998","1,159.35","1,117.15","1,247.15","1,117.15","782.42M","3.80%"
"01-03-1998","1,116.90","1,060.90","1,156.70","1,046.75","794.97M","5.29%"
"01-02-1998","1,060.75","963.45","1,064.15","949.65","558.23M","10.10%"
